source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
2013561005736958336,345.5818552625036,0.045175847,59.473332666280655,0.044009592,0.838264652240943,0.05159894,5.42078,4.589001318743231,0.05439422,-2.885467969186639,0.055953294,-0.095432624,0.0385345,-0.13286874,17.017511,17.674288,16.231392,1.4428959
2013561035797784704,345.6167136797965,0.24127895,59.47949872367408,0.23543538,0.092302192109235,0.29747146,2.1639605,-2.1637809913804817,0.28946137,0.0278691097684471,0.30617476,-0.15124093,0.032256883,-0.1002574,19.73438,20.518652,18.810564,1.7080879
2013561035797807872,345.6002856544398,0.094071634,59.48059861117295,0.09925859,0.4847734389718919,0.11380841,6.3274717,-6.141604407184506,0.11085371,-1.522365335010199,0.11606781,-0.07500767,0.030610878,-0.10142212,18.026878,18.671198,17.284061,1.3871365
2013561035797808256,345.5883827747234,0.12915751,59.46976010866384,0.10291401,0.1443481342306365,0.12876497,2.6724427,-2.257521848933119,0.16226827,-1.4302255139328506,0.13792366,0.024191514,0.021424627,0.0350491,18.49531,19.190382,17.756855,1.433527
2013561035798053632,345.60178448229016,0.18175638,59.47540818567069,0.18174003,0.4053823121640778,0.22316147,4.5510316,-3.976270069458657,0.22195792,-2.213857242261059,0.24765536,-0.08012407,0.014583899,-0.08277599,19.354511,20.271729,18.414175,1.8575535
2013561035798054784,345.601925253652,0.054049555,59.46996712302738,0.050011028,0.1364464845858557,0.06246054,4.173316,-3.70171418150773,0.06359839,-1.92714208880121,0.06569444,-0.08325422,-0.0549732,-0.1970674,17.15035,17.92352,16.258938,1.6645813
2013561035802027136,345.59011566884,0.036956865,59.4763564871571,0.033781104,0.2541300009314062,0.044534747,3.018226,-2.798644117966564,0.056816414,-1.130167360094684,0.046956893,-0.26363555,0.09072407,-0.071413815,15.877549,16.089565,14.98949,1.1000757
2013561040088840448,345.5958892438711,0.80632323,59.47415808560704,0.7452151,3.737153602758017,0.9667809,3.628831,-1.1970645300018083,0.93129295,-3.4257042884657705,0.97823244,0.07996868,-0.21302345,-0.20210223,20.250767,20.77336,18.812231,1.9611282
2013561040088842496,345.5986008887107,0.18070097,59.47853423135589,0.16703078,0.1356958832420095,0.21846193,3.5983844,-3.5905958381624177,0.22180381,-0.2366261745293058,0.21946694,-0.18123701,-0.0469315,-0.008586349,19.25284,20.320053,18.17575,2.1443024
2013561040088845824,345.5889717647948,0.43455124,59.47214302035284,0.3377297,1.4800984992689608,0.4453098,4.8417487,-3.859484645471399,0.5241049,-2.923509559871364,0.44058782,0.056833003,-0.11489746,-0.049791694,20.148617,21.203615,19.181562,2.0220528
