source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,bp_rp,dist
2013543203099010048,345.8343796291392,0.15965381,59.30771587588618,0.15620896,0.1578040755424802,0.1985171,2.5880437,-2.2853931340704907,0.20379896,-1.2144746867454677,0.1978727,-0.1651247,-0.09923813,-0.12908205,18.936409,1.5006123,16.936496553228025
2013543271812475392,345.82897654460913,0.18841565,59.3193117018339,0.17691,0.3011417800573684,0.23102653,3.4513714,-2.871248238002154,0.23957339,-1.915175600246946,0.23936124,-0.1404689,-0.13870813,-0.012788215,19.153915,1.6641483,16.180948963794375
2013543271812478208,345.82624874598974,0.07605838,59.32044982636853,0.07670586,0.1811445481387094,0.09375593,4.058444,-3.4353454022989167,0.09860028,-2.160872315431169,0.09895424,-0.16767845,0.012922522,-0.13618593,17.740492,1.5254345,16.0307937716965
2013543276104267264,345.8460097128691,0.24593323,59.322844406511095,0.23110586,0.348218459343957,0.29975706,2.5885572,-2.2660329600434244,0.31555593,-1.251288735159821,0.30349308,-0.1784191,0.014648558,-0.1903862,19.420214,1.8047237,16.62726756068188
2013543276112022528,345.8454562964474,0.28696287,59.32149094706895,0.26533556,0.3169169503004595,0.34254664,2.5151448,-2.247486440407401,0.36909118,-1.1290517802560762,0.34450054,-0.12956922,-0.0052484446,-0.13464512,19.689236,2.0645409,16.670099299575227
2013543310471758976,345.86195353091256,0.028628921,59.3371972110371,0.026515786,0.1654065002740941,0.034137834,4.1882124,-3.523416466436899,0.038657792,-2.264212559471379,0.03609939,-0.10563729,-0.09315555,-0.22347191,15.94538,1.1441326,16.602446380408146
2013543443611026688,345.68549884231686,0.09323938,59.28243822133164,0.08750848,0.3232662727667219,0.11105838,2.7050595,-2.4209515615734616,0.11008835,-1.2067895867202698,0.107110344,-0.121187896,0.029839514,-0.036443453,18.14038,1.8683968,15.424855437817925
2013543443611036032,345.70049392914456,0.0704089,59.285152992572165,0.06433178,0.273073283554742,0.08370405,2.6211154,-2.1303125219562418,0.08364667,-1.5270936990672055,0.07917676,-0.15164284,-0.006122573,-0.06861166,17.70336,1.2574501,15.333246790032886
2013543447902436352,345.6795572551685,0.33380672,59.28474855101884,0.31652367,0.2971823566499932,0.3894518,3.1543655,-2.933552273458806,0.36692923,-1.1594368133993045,0.36597016,-0.08438971,-0.06491211,-0.01809723,19.903017,2.0176964,15.272862323812696
2013543477970793856,345.73172709924825,0.091904156,59.29052693571885,0.089023754,0.1696835552087267,0.114456296,2.3735578,-2.03296852684898,0.11121276,-1.2250777247236182,0.10761542,-0.14595923,0.03293212,-0.0724283,18.232737,1.870697,15.333294379609283
2013543546690295424,345.7295726293934,0.14116731,59.297414284195085,0.1317786,0.2449365839450532,0.17035817,3.667172,-3.1930980099232924,0.16030909,-1.803406689589093,0.15704638,-0.12433121,-0.029097421,-0.063208215,18.84816,1.8280888,14.901420132899986
2013543546690310912,345.7209244783879,0.085653245,59.30248712777857,0.08526116,0.309158294791182,0.10987448,3.568042,-3.1111075632236216,0.107145056,-1.746978456856627,0.10304219,-0.23005554,0.07390239,-0.04966013,18.018726,1.5051441,14.49314102091657
2013543550989715968,345.71488628556364,0.09917198,59.296710740004286,0.09108798,0.2024230215582385,0.116194636,2.3393872,-2.0945203952304063,0.12132149,-1.0419774681471958,0.112856075,-0.09155742,0.0118120285,0.009595342,18.25631,1.8833904,14.766782442718215
2013543550989718528,345.7302561307748,0.02525946,59.299735150098414,0.023196205,0.2638582645340573,0.03026928,4.253158,-3.615758431032737,0.030755946,-2.239563834642083,0.027876401,-0.21241933,0.0016885708,-0.07642893,15.691587,1.1256876,14.77538798800893
2013543615409735680,345.6446906420406,0.12340577,59.2885282687437,0.114817664,0.2144605414605776,0.147191,3.191579,-2.8255507899183128,0.14416605,-1.4840618410177866,0.13913494,-0.12733965,-0.06365265,-0.053801633,18.61507,1.9122772,15.135407330715765
2013543619701095424,345.6434035410933,0.29158404,59.28468868152069,0.27638385,0.2401635775812051,0.34744695,4.0383024,-3.3210081124025286,0.34033337,-2.297562356587376,0.34138697,-0.10324079,-0.0444936,-0.054525375,19.858019,2.1003685,15.373048886162074
2013543684129244160,345.65260140927995,0.2607424,59.29800285448981,0.2328571,0.3518901248225181,0.3158884,3.388644,-2.92707844645535,0.31584913,-1.7073723478193894,0.28760904,-0.22347187,-0.12704882,0.013745313,19.701563,2.0712948,14.523232231193681
2013543757140582656,345.72198012826345,0.27677846,59.31343442112181,0.24470769,0.2948966147318457,0.32831028,2.6080112,-2.2138543256058507,0.33434063,-1.3786121202823665,0.31064844,-0.09460555,-0.15021294,-0.09332207,19.691118,1.6026249,13.86338682589664
2013543791500314624,345.7379943453764,0.20190601,59.32809635019948,0.18842337,0.1935115031623117,0.2478136,2.974996,-2.7796410458306764,0.24714993,-1.0602818586062428,0.23373286,-0.1384337,-0.1372153,-0.122661754,19.2477,1.7493858,13.255980256100631
2013543791508090368,345.73166069803,0.01487274,59.31379445688837,0.0144518465,0.3689233509751914,0.01822874,3.5581727,-3.138790170658084,0.019635066,-1.675884412257978,0.017950064,-0.20826879,0.0069028484,-0.12490607,14.556679,0.93402004,13.977487857807553
2013543928947048960,345.81890319866943,0.06797996,59.322888940720674,0.0656209,0.2425511087156159,0.083970085,2.8263576,-2.498177379740792,0.086462244,-1.3218951846509956,0.08544951,-0.16403605,-0.05709087,-0.15705663,17.62765,2.4229908,15.660380833327798
2013543928947049984,345.79718615375964,0.020020483,59.31289544107278,0.01917801,0.1924518792972218,0.02470978,3.1418808,-2.646816520680036,0.026341747,-1.6928603942341585,0.02416601,-0.18998602,0.013169292,-0.14471824,15.306163,1.2305012,15.493002091916638
2013544027726753920,345.82954398916,0.15732418,59.33055762505516,0.1506253,0.3240920754226283,0.19761267,2.3682508,-2.113239591096439,0.21144158,-1.0690324739628416,0.19607471,-0.30794373,0.029357646,-0.20124541,18.949173,1.7498894,15.656061901713915
2013544032026263040,345.8246524326998,0.012433441,59.33178290161046,0.012746069,0.2312992829321186,0.015637152,4.219672,-3.558127727272713,0.01711651,-2.2683389736084494,0.01641082,-0.23520909,0.011784882,-0.23758729,13.795208,0.9467516,15.422211461502043
2013544066385999744,345.8564752129019,0.2598323,59.34901247444672,0.2418208,0.199508099793243,0.3196503,3.1205602,-2.767292244262208,0.33229986,-1.4422166033531756,0.31819057,-0.14914966,-0.10337109,-0.11395778,19.766914,1.9420891,15.86215533533842
2013544135105474816,345.8477271376324,0.12162881,59.35198548738207,0.11979788,0.2063393738582515,0.1506619,2.6315205,-2.397094269529364,0.15633112,-1.0857436197597703,0.15617569,-0.17209285,-0.046655774,-0.15346114,18.66438,1.4794617,15.37135104217653
2013544135105475072,345.84776930235466,0.013271143,59.35037667266391,0.013041185,0.3261452297164918,0.01622151,3.7421732,-3.2156934258172685,0.01778611,-1.913942745635253,0.017113807,-0.16503243,-0.03890279,-0.19843547,14.296444,0.56192875,15.443753801748258
2013544165165747712,345.7734765893803,0.37397972,59.34257402120564,0.35205927,0.3373793364050519,0.4613055,2.5618932,-2.3034816959831974,0.4585563,-1.121280062542551,0.43820304,-0.1922108,-0.051519766,-0.07892955,19.89841,1.9973488,13.253052229094186
2013544199525490048,345.78471555470384,0.07071751,59.34286708546504,0.06765001,0.3397065262113722,0.08653944,2.6757224,-2.2944327384169765,0.091167845,-1.3766147442811425,0.08582507,-0.18485709,-0.009172413,-0.053000744,17.708612,1.5122833,13.558243427509137
2013544233885217536,345.7519774115716,0.2659364,59.34116594671853,0.25688592,0.2901536160805776,0.33765608,3.7180939,-3.1944048157007474,0.3113797,-1.9026295188366025,0.3089052,-0.14077646,-0.12256935,-0.11977463,19.643143,1.8997173,12.795788928176414
2013544233885229824,345.75051938616315,0.035583194,59.34371404045024,0.033895805,0.2628077430717947,0.04514021,3.1006463,-2.91249205406566,0.04503806,-1.0636717862449396,0.04246588,-0.20096962,-0.04656748,-0.08332276,16.275864,2.414507,12.621382123331996
2013544233885232000,345.7660990271097,0.080122754,59.34425111138518,0.07177494,0.23884794151609,0.09548299,2.7622921,-2.426711744214301,0.09729576,-1.3195940755979634,0.08853356,-0.17711465,-0.046890132,-0.10897643,17.587042,1.5000458,12.966502118231356
2013544238176907776,345.7567459134245,0.24548553,59.34382351551599,0.23531625,0.1330777895235349,0.3115209,3.739863,-3.218292087363732,0.2950276,-1.905038396559304,0.27584773,-0.16813298,-0.0035755334,-0.08156915,19.44121,1.9319382,12.758002500621036
2013544268245045760,345.7936762441147,0.099610895,59.36221943113442,0.09245482,0.3306784733557329,0.117726766,4.0142107,-3.506133376423882,0.12204162,-1.954716725115814,0.11790755,-0.15754084,-0.083479404,-0.13508019,18.219698,1.4947186,12.857788064716408
2013544375615858688,345.82994705432554,0.15867217,59.37542627402589,0.16021484,0.2334626476638662,0.19948062,4.0819106,-3.5731358631263026,0.1904389,-1.9734977515320349,0.18877932,-0.11328981,-0.05431813,-0.11823258,18.826134,1.6714573,13.616523087677953
2013545131537649408,345.5795160784384,0.022239935,59.27990359583499,0.021059701,0.3472737595151358,0.02682485,3.958016,-3.323906992445296,0.028031476,-2.14884434572399,0.026205722,-0.18801084,0.036076866,-0.08157515,15.565432,1.1209736,16.53549467657936
2013545131537650176,345.5754202128347,0.12565227,59.277942109031535,0.11194646,0.3344117807027749,0.14650442,4.0441976,-3.448135487773656,0.15087621,-2.113266110402722,0.13859676,-0.20657504,-0.017731622,-0.036933195,18.518951,1.7293015,16.73055478200378
2013545161603044096,345.621705339832,0.13924256,59.30012948466034,0.12702994,0.158782966587909,0.16809238,3.8616323,-3.293033983457937,0.17226869,-2.016961130431342,0.15559642,-0.22144717,-0.06550603,-0.027280545,18.768534,2.1761208,14.669319563231284
2013545195957707264,345.5686699105906,0.08562984,59.29274642624862,0.08076977,0.2961332260547332,0.106480695,3.842467,-3.219279690443856,0.11362599,-2.0978065316120778,0.10164533,-0.27228492,-0.058085084,-0.008859141,17.98928,1.8518314,16.05463751939893
2013545200257108992,345.5805606343289,0.033607062,59.30347924018853,0.032434795,0.1584387039220497,0.04198493,3.7120886,-3.1642666921529945,0.043984827,-1.9408805771595792,0.04067056,-0.22907712,0.025749873,0.015487589,16.263615,2.2976837,15.189138468727204
2013545264677181312,345.5273426602533,0.09989354,59.29250437538746,0.08985649,0.2249954286830623,0.11852228,2.6409986,-2.1357010287529468,0.12426161,-1.5535941088816163,0.108757086,-0.18619068,0.06330656,-0.0066336514,18.288176,1.9378986,17.185177160176682
2013545264681826944,345.5293507685519,0.29682165,59.29249387959217,0.2741764,0.2086402591320691,0.35854223,2.6626828,-2.1052167587331523,0.35243577,-1.6303197321788103,0.3290978,-0.15178461,-0.049714237,-0.031255208,19.867533,1.9745941,17.124824597082906
2013545299036952448,345.5459512640278,0.27671373,59.30200962966517,0.24858516,0.1738377749100134,0.3290299,2.6009457,-2.328673984398719,0.34156343,-1.158531632988217,0.31085962,-0.2222093,-0.033688746,-0.00846556,19.758814,1.7483997,16.140707504332568
2013545337696041088,345.5105303474501,0.051858973,59.30272616338619,0.046252597,0.139158206501621,0.059467714,2.90162,-2.4055897920446827,0.06687839,-1.6225091684004551,0.056724146,-0.16756877,0.04008014,-0.0683189,17.08844,2.741623,17.209919917060002
2013545372047627392,345.5546068321419,0.20682289,59.31899059304087,0.18548585,0.1518435325605565,0.24709632,3.3797524,-2.753222402418823,0.2533504,-1.960227782648949,0.23084025,-0.16004516,0.025062837,-0.029523205,19.375864,1.6510067,14.997368617105256
2013545372055789184,345.5456403043856,0.04395971,59.30574087631517,0.04099782,0.3432641321394983,0.05281084,3.9371822,-3.280530363010203,0.05756248,-2.1770447232137218,0.050763603,-0.24815896,0.041080087,-0.07365207,16.901617,1.2830276,15.95257667143949
2013545436475990528,345.6145856761853,0.090243295,59.32307237606511,0.08558766,0.262344220519335,0.11050677,3.792896,-3.211537931923285,0.11545519,-2.01794068982555,0.10750856,-0.16965246,-0.08037262,-0.11572589,18.15127,1.5616131,13.43112942375911
2013545470835719168,345.58460647310534,0.16866383,59.32186656449451,0.15667133,0.282210134039327,0.20595995,3.3507886,-2.777816035791288,0.20430213,-1.873905478037692,0.19319618,-0.19269209,-0.07501796,-0.02445446,19.115763,1.8104649,14.074432693081802
2013545475135000960,345.56891372359274,0.092120804,59.317509358077885,0.08513499,0.2219641265611519,0.11097543,4.284019,-3.7317088025242833,0.120809965,-2.104083312923641,0.107761644,-0.144247,0.096363276,0.019380243,18.040882,1.7312088,14.691284607461723
2013545505195518080,345.6126083214671,0.16093548,59.339851097830966,0.15237854,0.2554149680273355,0.1996451,2.9876626,-2.6451121386256577,0.2116294,-1.3890678461517405,0.1898115,-0.19129467,0.030759228,-0.02013942,19.012745,1.629528,12.495667969042591
2013545780073324544,345.4831015186625,0.07177627,59.31287428671878,0.065000415,0.3298111421849433,0.08284446,3.040622,-2.357157980962328,0.08991496,-1.9207258757173216,0.07912645,-0.18983766,0.009265541,-0.07035814,17.750122,1.56073,17.7211316918931
2013545986231821952,345.478617176516,0.17720973,59.33308292205156,0.15691406,0.3288863743505325,0.20680341,2.464094,-2.090764941249444,0.21678776,-1.3040169704053883,0.19171362,-0.21909437,0.008102622,-0.07176181,19.112043,1.9058514,16.993400020924188
2013545990531041024,345.4809553197724,0.023162836,59.32294059902798,0.020832209,0.2126083901494833,0.026949951,4.2327824,-3.539613503416993,0.029262906,-2.32111712227554,0.025214732,-0.24376166,0.108031146,-0.112544745,15.53319,1.432642,17.347851935209725
2013546054951288960,345.4623699340005,0.23066281,59.3298005579143,0.20190248,0.2854682775798644,0.26444805,2.5403695,-2.2403034009869165,0.28443173,-1.19771358093887,0.25715163,-0.14894283,-0.08396195,-0.15584038,19.599993,1.7953758,17.814542796104977
2013546162329734528,345.51323908591104,0.048042208,59.33283719092293,0.04379093,0.2210166898000586,0.056554303,4.1335464,-3.577469193839548,0.060932852,-2.0707292414709704,0.05554186,-0.21936211,0.05094702,-0.115754694,17.147562,1.3326721,15.653654063983655
2013546162329741440,345.49486559655,0.123640455,59.31983225819408,0.11233865,0.2739600435542317,0.14318454,3.0835292,-2.886773707095523,0.15638691,-1.083831134042079,0.13942039,-0.18884583,0.021678569,-0.019997304,18.65366,1.836628,16.94992617068005
2013546196689476864,345.52272546476297,0.10890966,59.33181410496941,0.099880084,0.13799174151317,0.12157164,3.1677763,-2.729841127500376,0.14103244,-1.6071013905578768,0.13296293,-0.06595475,0.04240344,-0.045208026,18.356998,1.5017776,15.361731451797015
