ug,gr,ri,iz
3.023693,1.578241,0.6902018,0.3727655
2.016335,0.928297,0.4027042,0.2456074
1.499371,0.6701908,0.311451,0.1724997
1.511823,0.4121923,0.1739931,0.08097649
2.77914,0.5453806,-0.1326256,1.960374
4.272993,2.22681,1.113015,0.8332052
1.620918,0.8603802,0.4575996,0.4248514
1.566381,0.290184,0.07895756,0.09215736
0.8143139,1.172701,0.1652842,0.09289932
1.571986,0.8502645,0.3542786,0.2051992
1.448671,0.5131731,0.1955166,0.13309
1.811244,0.6957283,0.3129902,0.201952
1.601879,0.7515497,0.3040295,0.2171412
3.891382,1.528847,0.7843742,0.5894203
1.610027,0.8200092,0.3749733,0.2281723
1.682909,0.8108788,0.3490715,0.3039436
1.569818,0.7287865,0.3226509,0.2251816
1.541658,0.5930967,0.277236,0.1625786
1.498798,0.6845655,0.2957754,0.1664324
0.4715719,0.6002893,3.480588,-2.039505
1.606581,0.7324123,0.3170567,0.2010155
1.922863,0.734498,0.3733072,0.3523302
1.990242,0.8080902,0.4243526,0.3556786
1.832422,0.8827667,0.3622494,0.2253647
1.491516,0.6680183,0.299614,0.1839733
1.828115,0.7330971,0.4207563,0.3260536
2.051422,0.7497177,0.4143028,0.3490925
1.132277,5.077262,-1.791195,2.512982
1.691401,0.9308853,0.4413128,0.2609415
1.597065,0.5145769,0.2168465,0.1591625
2.868196,1.581038,0.7733583,0.5902853
2.016329,0.8899899,0.3105679,0.2373867
1.639952,0.8324051,0.3815708,0.2651672
2.71136,1.548399,0.2458076,1.079062
1.525013,0.4760714,0.2268848,0.1267958
1.636893,0.3268623,0.1420832,0.1072683
1.599581,0.7659302,0.322052,0.1790047
1.553356,0.3248367,0.229825,2.578173
1.45117,0.6051683,0.2671442,0.1717863
1.421087,0.6069298,0.2523613,0.149415
1.634192,0.7721252,0.317914,0.1755257
2.133705,0.8861542,0.4682827,0.4031057
1.80094,0.8577185,0.3597593,0.2243519
1.543596,0.7308311,0.3071632,0.2168884
1.835661,0.9687328,0.384882,0.3125687
1.680347,0.8097525,0.3483839,0.2263412
1.685255,0.7080173,0.3143435,0.1994333
2.122215,1.005882,0.3859062,0.299509
1.411435,0.5030499,0.1944494,0.1343842
1.766712,0.8244619,0.359375,0.2306004
3.094774,1.527774,0.6711435,0.4946985
2.149132,1.164812,0.5176296,0.3564272
1.751414,0.7746859,0.2938461,0.1711712
1.250319,0.6004133,-0.9983177,1.563617
2.623484,0.7473965,0.3274155,0.1060534
1.529621,0.6637268,0.2756596,0.1636095
2.819204,1.642298,0.8153877,0.6300173
1.938917,0.8637409,0.377327,0.2140532
7.777021,0.6807861,0.4049749,0.2986441
2.059252,1.114563,0.6032448,0.444932
1.360006,0.708518,-0.5153894,0.05701351
1.801542,0.8078251,0.3320227,0.1660633
1.821459,0.8680449,0.3683634,0.2135906
1.512399,0.1728172,-2.659207,2.981983
1.937189,0.9265614,0.4884377,0.437149
1.915035,0.9303169,0.4419861,0.4474344
1.987801,0.9744167,0.5531626,0.4589729
1.863432,0.7358971,0.3942413,0.2712021
1.495578,0.5903587,0.2606039,0.1774626
1.886803,0.8937454,0.3319731,0.3020144
1.720108,0.7826443,0.3643665,0.2457085
1.98204,0.9406471,0.3735294,0.2510376
2.331718,1.068371,0.5730047,0.4619751
2.11698,1.126736,0.6650181,0.5612717
